nonzero,polish,polish,base,base
,mean,std,mean,std
1,0.6260708624134141,0.06573667432751888,0.6292375692429253,0.02321736365366919
2,0.7837328113063406,0.03920682648740493,0.7657085561497325,0.06514464691362651
3,0.821813329577672,0.06314587775232795,0.8460147249178355,0.05872271896211182
4,0.822003819548629,0.0769959670781426,0.8429545867993568,0.06762356971827185
5,0.8114988248948387,0.07318376541555095,0.8440700997694212,0.06760833555278327
6,0.8515735135485157,0.04597189066333162,0.8244897559330179,0.05440813910993686
7,0.8866981140440494,0.05509442178971418,0.8503160219634036,0.06730359801321847
8,0.9067967698519515,0.0050523253045449135,0.9005872996451731,0.007008266133200082
9,0.9249458929229265,0.03348010469687901,0.9278783085342477,0.01733356479694766
10,0.9399983062330624,,0.9452066395663957,
